Name (Social Reason),Legal Designation,Other Designation,Address,City,Postal Code,Province,Country,Latitude,Longitude,Administration Region,Permit #,Measure under the Permit #,Type of Permit,AMBQ Member,Year Founded,Website,Email,Telephone,Facebook,Ratebeer,Untappd,Menu,Twitter,Wikidata,Youtube,Instagram,Pinterest,Snapchat,Other,Notes
BRASSEURS DU MOULIN,BRASSEURS DU MOULIN INC.,,"991, RUE RICHELIEU - SUITE 101 ET 102",BELOEIL,J3G 4P8,Québec,Canada,45.569724,-73.199197,16,AB079,,Producteur artisanal de bière ,0,2015,http://brasseursdumoulin.com/,info@brasseursdumoulin.com,450-527-1133,https://www.facebook.com/brasseursdumoulin/,http://www.ratebeer.com/brewers/brasseurs-du-moulin/25223/,https://untappd.com/w/brasseurs-du-moulin/209204,X,X,?,?,https://www.instagram.com/brasseursdumoulin/,?,?,,
NOCTEM ARTISANS BRASSEURS,NOCTEM ARTISANS BRASSEURS INC.,,"438, RUE DU PARVIS",QUEBEC,G1K 6H8,Québec,Canada,46.81409,-71.223395,3,AB080,,Producteur artisanal de bière ,1,2015,http://www.noctem.ca/,info@noctem.ca,581-742-7979,https://www.facebook.com/noctemartisansbrasseurs,http://www.ratebeer.com/brewers/noctem-artisans-brasseurs/24901/,https://untappd.com/NoctemArtisansBrasseurs,https://www.aumenu.info/noctem-artisans-brasseurs/,X,?,?,https://www.instagram.com/noctem.artisans.brasseurs/,?,?,,
LA BROUE SHOP BRASSERIE ARTISANALE,BROUE GESTION INC.,,"1950-A, CHEMIN DU FER-À-CHEVAL",SAINTE-JULIE,J3E 2T6,Québec,Canada,45.575356,-73.326983,16,AB081,,Producteur artisanal de bière ,0,2015,?,info@broueshop.com,450-649-6669,https://www.facebook.com/BroueShopBrasserieArtisanale,http://www.ratebeer.com/brewers/broue-shop/25635/,https://untappd.com/BroueShop,https://www.aumenu.info/la-broue-shop-brasserie-artisanale/,X,?,?,?,?,?,,
BISTRO-BRASSERIE LES SŒURS GRISES,BBLSG-TR INC.,,"1433, RUE NOTRE-DAME CENTRE",TROIS-RIVIÈRES ,G9A 4X1,Québec,Canada,46.331815,-72.555758,4,AB082,,Producteur artisanal de bière ,0,2015,http://www.bblsg.com/,info@bblsg.com,819-370-1208,https://www.facebook.com/bblsg3r/,http://www.ratebeer.com/brewers/bistro-brasserie-les-soeurs-grises/14232/,https://untappd.com/w/bistro-brasserie-les-soeurs-grises/66544,?,?,?,?,?,?,?,,
LA BRASSERIE LABATT DU CANADA S.C.S.,LA BRASSERIE LABATT DU CANADA S.C.S.,,"50, AVENUE LABATT",MONTREAL,H8R 3E7,Québec,Canada,45.42525,-73.644495,6,BR001 ,,Brasseur,0,,?,?,?,?,http://www.ratebeer.com/brewers/labatt-breweries-ab-inbev/51/,https://untappd.com/LabattBrewingCompany,?,?,?,?,?,?,?,,
MOLSON CANADA,MOLSON CANADA 2005,,"2005 1555 & 1320,1500,1550 1670 RUE NOTREDAME EST",MONTREAL,H2L 2R5,Québec,Canada,45.51991,-73.547323,6,BR007,,Brasseur,0,,?,?,?,?,http://www.ratebeer.com/brewers/molson-breweries-molsoncoors/49/,https://untappd.com/MolsonCoors,?,?,?,?,?,?,?,,
UNIBROUE & SLEEMAN ,LES BRASSERIES SLEEMAN INC.,,"80, RUE DES CARRIÈRES ",CHAMBLY ,J3L 2H6 ,Québec,Canada,45.441167,-73.260756,16,BR008 ,,Brasseur ,0,1991,http://www.unibroue.com/,info@unibroue.com,450-658-7658,https://www.facebook.com/unibroue/,http://www.ratebeer.com/brewers/unibroue-sapporo/180/,https://untappd.com/Unibroue,?,?,https://twitter.com/Unibroue,?,?,?,?,,
BRASSERIE LE LION D'OR ,2417-3577 QUÉBEC INC.,,"2896, RUE DU COLLÈGE ",SHERBROOKE ,J1M 1Z6,Québec,Canada,45.402996,-71.887681,5,BR009 ,,Brasseur ,0,1986,http://www.lionlennoxville.com/,info@lionlennoxville.com,819-562-4589,https://www.facebook.com/brasserielion/,http://www.ratebeer.com/brewers/golden-lion--lion-dor/378/,https://untappd.com/w/lion-d-or/21864,X,X,?,?,?,?,?,,
LES BRASSEURS RJ,LES BRASSEURS GMT INC.,,"5585, RUE DE LA ROCHE",MONTRÉAL ,H2J 3K3 ,Québec,Canada,45.533657,-73.591471,6,BR011 ,,Brasseur ,1,1998,http://www.brasseursrj.com/,info@brasseursrj.com,514-274-4941,https://www.facebook.com/Les-Brasseur-RJ-34575394773/,http://www.ratebeer.com/brewers/brasseurs-rj/365/,https://untappd.com/w/les-brasseurs-rj/6611,X,X,?,?,?,?,?,,
LES BRASSEURS DU NORD,LES BRASSEURS DU NORD INC. ,,"875, BOULEVARD MICHÈLE-BOHEC ",BLAINVILLE,J7C 5J6 ,Québec,Canada,45.663306,-73.887209,15,BR012,,Brasseur ,1,1988,http://www.boreale.com/,info@boreale.com,450-979-8400,https://www.facebook.com/pages/Les-Brasseurs-du-Nord/109394965745163,http://www.ratebeer.com/brewers/brasseurs-du-nord/335/,https://untappd.com/LesBrasseursduNord,X,https://twitter.com/BiereBoreale,?,?,https://www.instagram.com/biereboreale/,?,?,,
LA BRASSERIE MCAUSLAN,LA BRASSERIE MCAUSLAN INC. ,,"5080, RUE SAINT-AMBROISE ",MONTRÉAL ,H4C 2G1 ,Québec,Canada,45.46796,-73.590817,6,BR014 ,,Brasseur ,1,2014,http://www.mcauslan.com/,info@mcauslan.com,514-939-3060,https://www.facebook.com/pages/McAuslan-Brewing/109131612440016,http://www.ratebeer.com/brewers/mcauslan-brewing-brasseurs-rj/137/,https://untappd.com/McAuslanBrewing,X,https://twitter.com/bierestambroise,?,?,?,?,?,,
FERME BRASSERIE SCHOUNE,FERME BRASSERIE SCHOUNE INC. ,,"2075, CHEMIN STE-CATHERINE ",SAINT-POLYCARPE ,J0P 1X0 ,Québec,Canada,45.290951,-74.321352,16,BR016 ,,Brasseur ,0,1996,http://www.schoune.com/,info@schoune.com,450-265-3765,https://www.facebook.com/fermebrasserie.schoune,http://www.ratebeer.com/brewers/ferme-brasserie-schoune/902/,https://untappd.com/FermeBrasserieSchoune,X,https://twitter.com/brewerySchoune,?,?,?,?,?,,
LES BRASSERIES BVM DU CANADA,LES BRASSERIES BVM DU CANADA INC.,,"6729, AVENUE DE L'ESPLANADE ",MONTRÉAL ,H2V 4P9 ,Québec,Canada,45.529764,-73.615385,6,BR024 ,,Brasseur ,0,2001,http://bvmbrewery.com/,?,514-908-2337,https://www.facebook.com/pages/Brasserie-BVM-Inc/1557068504592505,http://www.ratebeer.com/brewers/brasserie-vieux-montreal-bvm/6124/,https://untappd.com/w/brasserie-bvm-inc-vieux-montreal/32821,X,X,?,?,?,?,?,,
LA BARBERIE ,COOPÉRATIVE DE BRASSEURS PROFESSIONNELS SAINT-ROCH,,"310, RUE SAINT-ROCH ",QUÉBEC,G1K 6S2 ,Québec,Canada,46.818009,-71.218074,3,BR025 ,,Brasseur ,1,1997,http://www.labarberie.com/,info@labarberie.com,418-522-4373,https://www.facebook.com/labarberie,http://www.ratebeer.com/brewers/la-barberie/906/,https://untappd.com/LaBarberie,https://www.aumenu.info/la-barberie/,https://twitter.com/labarberie,?,https://www.youtube.com/user/LaBarberieQc,https://www.instagram.com/barberie/,?,?,,
LES BRASSEURS DE WEST-SHEFFORD ,9258-0653 QUÉBEC INC.,,"92, BOULEVARD BROMONT, LOCAL 101 ",BROMONT ,J2L 2K6 ,Québec,Canada,45.317971,-72.656949,16,BR027 ,,Brasseur ,0,2009,http://brasseursdewestshefford.com/,info@brasseursdewestshefford.com,?,https://www.facebook.com/LesBrasseursdeWestShefford/,http://www.ratebeer.com/brewers/brasserie-de-west-shefford/907/,https://untappd.com/w/les-brasseurs-de-west-shefford/188869,X,https://twitter.com/WSbrew,?,?,?,?,?,,
LES BIÈRES DE LA NOUVELLE-France,LES BIÈRES DE LA NOUVELLE-FRANCE INC. ,,"90, RANG RIVIÈRES-AUX-ÉCORSES ",SAINT-ALEXIS-DES-MONTS ,J0K 1V0 ,Québec,Canada,46.462516,-73.142861,4,BR028 ,,Brasseur ,1,1998,http://www.lesbieresnouvellefrance.com/,bnf@telmilot.net,819 265-4000,https://www.facebook.com/bieresansgluten/,http://www.ratebeer.com/brewers/les-bieres-de-la-nouvelle-france/905/,https://untappd.com/w/les-bia-res-de-la-nouvelle-france/14220,X,https://twitter.com/BiereSansGluten,?,https://www.youtube.com/channel/UCNL1ZhvkrScGtBo0VKoEVZA,https://www.instagram.com/glutenbergbeer/,?,?,,
LE SAINT PUB,RESTAURANT LE SAINT PUB INC.,,"2, RUE RACINE",BAIE-SAINT-PAUL ,G3M 2P8 ,Québec,Canada,47.442677,-70.50752,3,BR030 ,,Brasseur ,0,1998,http://www.saint-pub.com/,fred@microbrasserie.com,418-240-2332,https://www.facebook.com/saintpub,http://www.ratebeer.com/brewers/microbrasserie-charlevoix--le-saint-pub/349/,https://untappd.com/microbrasserieCharlevoix,X,X,?,https://www.youtube.com/user/microbrasserie,?,?,?,,
BROUE-ALLIANCE,BROUE-ALLIANCE INC.,,"3838, BOULEVARD LEMAN ",LAVAL,H7E 1A1 ,Québec,Canada,45.611316,-73.673798,13,BR031 ,,Brasseur ,1,1996,http://groupegeloso.com/,sac@groupeomni.com,450-661-0281,https://www.facebook.com/pages/Broue-Alliance-Inc/467790440093812,?,https://untappd.com/w/brew-alliance-groupe-geloso/47019,X,X,?,?,?,?,?,,
MICRO-BRASSERIE DU LIÈVRE,MICRO-BRASSERIE DU LIÈVRE INC. ,,"131, BOUL. ALBINY-PAQUETTE ",MONT-LAURIER ,J9L 1J2 ,Québec,Canada,46.552363,-75.497393,15,BR034 ,,Brasseur ,1,1999,http://www.microdulievre.com/,microdulievre@tlb.sympatico.ca,819-440-2440,https://www.facebook.com/Microbrasseriedulievre/,http://www.ratebeer.com/brewers/microbrasserie-du-lievre/908/,https://untappd.com/w/microbrasserie-du-li-vre/10256,X,X,?,?,?,?,?,,
MICRO BRASSERIE SAINT-ARNOULD,MICRO BRASSERIE SAINT-ARNOULD INC. ,,"435, RUE DES PIONNIERS ",MONT-TREMBLANT,J8E 1Y1 ,Québec,Canada,46.209756,-74.585661,15,BR035 ,,Brasseur ,1,1995,http://www.saintarnould.com/,info@saintarnould.com,819-425-1262,https://www.facebook.com/saintarnould/,http://www.ratebeer.com/brewers/saint-arnould/916/,https://untappd.com/w/microbrasserie-saintarnould/3578,X,https://twitter.com/StArnould,?,?,?,?,?,,
BRASSERIE SAINT-ANTOINE-ABBÉ,GERZER INC.,,"3299, ROUTE 209 ",FRANKLIN ,J0S 1E0 ,Québec,Canada,45.029534,-73.922908,16,BR036 ,,Brasseur ,1,2002,http://www.brasserie-saint-antoine-abbe.com/,info@brasserie-saint-antoine-abbe.com,450-826-4609,https://www.facebook.com/pages/Brasserie-Saint-Antoine-Abb%C3%A9/1737275109819197,http://www.ratebeer.com/brewers/brasserie-saint-antoine-abbe/3058/,https://untappd.com/w/brasserie-saintantoineabbe/67857,X,X,?,?,?,?,?,,
L'ALCHIMISTE ,9106-3503 QUÉBEC INC.,,"681, RUE MARION",JOLIETTE ,J6E 8S3 ,Québec,Canada,46.006804,-73.444481,14,BR037 ,,Brasseur ,1,2006,http://www.lalchimiste.ca/,info@lalchimiste.ca,450-760-2945,https://www.facebook.com/MicrobrasserieAlchimiste,http://www.ratebeer.com/brewers/lalchimiste/1414/,https://untappd.com/w/alchimiste-microbrasserie/2168,X,X,?,?,https://www.instagram.com/alchimiste_microbrasserie/,?,?,,
MICROBRASSERIE MULTI-BRASSES,MICROBRASSERIE MULTI-BRASSES INC ,,"1209, RUE SAINT-JOSEPH ",TINGWICK ,J0A 1L0 ,Québec,Canada,45.881113,-71.943507,5,BR038 ,,Brasseur ,0,2001,http://multi-brasses.com/,info@multi-brasses.com,819-359-3887,https://www.facebook.com/pages/Multi-Brasses/424266004287656,http://www.ratebeer.com/brewers/multi-brasses/4861/,https://untappd.com/w/multi-brasses/12843,X,X,?,?,?,?,?,,
MICROBRASSERIE LES TROIS MOUSQUETAIRES,9107-9855 QUÉBEC INC.,,"3755-C, BOULEVARD MATTE ",BROSSARD ,J4Y 2P4 ,Québec,Canada,45.455483,-73.46789,16,BR039 ,,Brasseur ,1,2004,http://www.lestroismousquetaires.ca/,info@lestroismousquetaires.ca,450-619-2372,https://www.facebook.com/les.trois.mousquetaires/,http://www.ratebeer.com/brewers/les-trois-mousquetaires--ltm/5179/,https://untappd.com/lestroismousquetaires,X,https://twitter.com/3_Mousquetaires,?,?,?,?,?,,
LES FRÈRES HOUBLON ,COOPÉRATIVE DE TRAVAIL LES FRÈRES HOUBLON ,,"10180, CHEMIN SAINTE-MARGUERITE ",TROIS-RIVIÈRES ,G9B 6M2 ,Québec,Canada,46.308299,-72.638379,4,BR040 ,,Brasseur ,0,2003,http://www.lesfrereshoublon.com/,lesfrereshoublon@hotmail.com,819-380-8307,X,http://www.ratebeer.com/brewers/les-freres-houblon-microbrasserie/3854/,https://untappd.com/w/les-fr-res-houblon-microbrasserie/5263,X,,?,?,?,?,?,,
À L'ABRI DE LA TEMPÊTE ,9118-5199 QUÉBEC INC.,,"286, CHEMIN COULOMBE ",LES ÎLES-DE-LA-MADELEINE ,G4T 3V5 ,Québec,Canada,47.360122,-61.936274,11,BR041 ,,Brasseur ,1,2004,http://www.alabridelatempete.com/,info@alabridelatempete.com,418-986-5005,https://www.facebook.com/alabridelatempete,http://www.ratebeer.com/brewers/a-labri-de-la-tempete/5842/,https://untappd.com/Tempete,X,X,?,?,?,?,?,,
MICRO-BRASSERIE LE GRIMOIRE,MICRO-BRASSERIE LE GRIMOIRE INC. ,,"223, RUE PRINCIPALE ",GRANBY ,J2G 2V7 ,Québec,Canada,45.400432,-72.727785,16,BR042 ,,Brasseur ,0,2004,http://www.brasseriegrimoire.com/,info@brasseriegrimoire.com,450-372-7079,https://www.facebook.com/brasseriegrimoire/,http://www.ratebeer.com/brewers/le-grimoire-microbrasserie/5450/,https://untappd.com/w/microbrasserie-le-grimoire/14185,X,X,?,?,?,?,?,,
BELGH BRASSE,9188-3843 QUÉBEC INC.,,"8, RUE DE LA BRASSERIE ",AMOS ,J9T 3A2 ,Québec,Canada,48.566847,-78.101778,8,BR043 ,,Brasseur ,1,1999,http://www.belghbrasse.com/,info@belghbrasse.com,819-732-6519,https://www.facebook.com/BiereMons/?fref=ts,http://www.ratebeer.com/brewers/belgh-brasse-groupe-geloso/1389/,https://untappd.com/BelghBrasse,X,https://twitter.com/BelghBrasse,?,?,?,?,?,,
MICRO-BRASSERIE DU SAGUENAY,9216-3146 QUÉBEC INC.,,"224, RUE DES LAURENTIDES ",SAGUENAY ,G7H 7X8 ,Québec,Canada,48.399191,-71.064318,2,BR044 ,,Brasseur ,0,2014,http://www.lavoiemaltee.com/,publavoiemaltee@hotmail.com,418-542-4373,https://www.facebook.com/voiemaltee,http://www.ratebeer.com/brewers/la-voie-maltee/3253/,https://untappd.com/w/la-voie-malt-e/10366,X,https://twitter.com/VoieMaltee,?,?,https://www.instagram.com/lavoiemaltee/,?,?,,
PUB LA TOUR À BIÈRES,LES BRASSEURS DU SAGUENAY INC.,,"517, RUE RACINE EST ",SAGUENAY ,G7H 1T8 ,Québec,Canada,48.42902,-71.052294,2,BR045 ,,Brasseur ,0,2004,http://www.latourabieres.com/,bieresaguenay@yahoo.ca,418 545-7272,https://www.facebook.com/pages/La-Tour-a-Bi%C3%A8re/175766962464987?fref=ts,http://www.ratebeer.com/brewers/brasseurs-du-saguenay--la-tour-a-bieres/5128/,https://untappd.com/w/la-tour-a-bieres/14108,X,X,?,?,?,?,?,,
ARCHIBALD MICROBRASSERIE,ARCHIBALD INC.,,"1021, BOULEVARD DU LAC, LOCAL 200 ",LAC-BEAUPORT ,G0A 2C0 ,Québec,Canada,46.944234,-71.296792,3,BR046 ,,Brasseur ,1,2005,http://www.archibaldmicrobrasserie.ca/,info@archibaldmicrobrasserie.ca,418-841-2224,https://www.facebook.com/ArchibaldMicrobrasserieQC,http://www.ratebeer.com/brewers/microbrasserie-archibald-ab-inbev/5994/,https://untappd.com/Archibaldmicrobrasserie,X,X,?,https://www.youtube.com/channel/UCEPY9swVSQfYFAPEj60o6Ng,https://www.instagram.com/archibaldmicrobrasserie/,?,?,,
LA COMPAGNIE DE BIÈRE BRISSET INC. ,LA COMPAGNIE DE BIÈRE BRISSET INC. ,,"370, RUE GUY, LOCAL G9 ",MONTRÉAL ,H3J 1S6 ,Québec,Canada,45.522451,-73.591283,6,BR047 ,,Brasseur ,0,2011,http://www.bierebrisset.com/,info@bierebrisset.com,514-906-6851,https://www.facebook.com/BiereBrisset,http://www.ratebeer.com/brewers/la-compagnie-de-biere-brisset/15336/,https://untappd.com/w/la-compagnie-de-biere-brisset-broken7/36345,X,https://twitter.com/Biere_Brisset,?,?,?,?,?,,
BRASSERIE DUNHAM,BRASSEURS ET FRÈRES INC.,,"3809, RUE PRINCIPALE, LOCAL 104",DUNHAM ,J0E 1M0 ,Québec,Canada,45.130259,-72.800714,16,BR050 ,,Brasseur ,1,2006,http://www.brasseriedunham.com/,info@brasseriedunham.com,450-295-1500,https://www.facebook.com/brasseriedunham1,http://www.ratebeer.com/brewers/brasserie-dunham/12142/,https://untappd.com/BrasserieDunham,https://www.aumenu.info/pub-de-la-brasserie-dunham/,https://twitter.com/BrasserieDunham,?,?,https://www.instagram.com/dunhambrasserie/,?,?,,
LE MITAN,MICROBRASSERIE D'ORLÉANS INC.,,"3885, CHEMIN ROYAL ",SAINTE-FAMILLE ,G0A 3P0 ,Québec,Canada,46.971877,-70.964222,3,BR051 ,,Brasseur ,1,2006,http://www.microorleans.com/,info@microbrasserieiledorleans.com,418-829-0408,https://www.facebook.com/microorleans,http://www.ratebeer.com/brewers/microbrasserie-de-lile-dorleans/7340/,https://untappd.com/MicroOrleans,X,X,?,?,?,?,?,,
HOPFENSTARK,ENTREPRISE HOPFENSTARK INC.,Station Ho.St,"643, BOULEVARD DE L'ANGE-GARDIEN ",L'ASSOMPTION ,J5W 1T1 ,Québec,Canada,45.831472,-73.423308,14,BR053 ,,Brasseur ,0,2006,http://www.hopfenstark.com/,info@hopfenstark.com,450-713-1060,https://www.facebook.com/Hopfenstark-Brewery-10141119337,http://www.ratebeer.com/brewers/hopfenstark/8201/,https://untappd.com/Hopfenstark,X,https://twitter.com/Hopfenstark,?,?,?,?,?,,
MICRO BRASSERIE PIT CARIBOU ,9193-6575 QUÉBEC INC.,,"27, RUE DE L'ANSE, LOCAL B ",PERCÉ ,G0C 1G0 ,Québec,Canada,48.524728,-64.212237,11,BR054 ,,Brasseur ,1,2007,http://www.pitcaribou.com/,brasserie-pitcaribou@hotmail.com,418-782-1444,https://www.facebook.com/Microbrasserie-Pit-Caribou-525384144158039,http://www.ratebeer.com/brewers/microbrasserie-pit-caribou/9010/,https://untappd.com/w/microbrasserie-pit-caribou/9277,X,https://twitter.com/PitCaribou,?,?,?,?,?,,
LE TROU DU DIABLE,COOP DE TRAVAIL BRASSERIE ARTISANALE LE TROU DU DIABLE,,"412, AVENUE WILLOW ",SHAWINIGAN ,G9N 1X2 ,Québec,Canada,46.540362,-72.753359,4,BR055 ,,Brasseur ,1,2005,http://www.troududiable.com/,info@troududiable.com,819-537-9151,https://www.facebook.com/troududiable,http://www.ratebeer.com/brewers/le-trou-du-diable/6444/,https://untappd.com/troududiable,https://www.aumenu.info/le-trou-du-diable-broue-pub-et-restaurant/,https://twitter.com/troududiable,?,https://www.youtube.com/channel/UCOdWgphGj2G1mH8tkutPYrg,https://www.instagram.com/tddbrouepub/,?,?,,https://www.instagram.com/tddsurlaroute/
MICROBRASSERIE DU LAC-SAINT-JEAN,9179-0337 QUÉBEC INC.,,"120, RUE DE LA PLAGE ",SAINT-GÉDÉON ,G0W 2P0 ,Québec,Canada,48.490495,-71.780312,2,BR056 ,,Brasseur ,1,2007,http://www.microdulac.com/,info@microdulac.com,418-345-8758,https://www.facebook.com/Microdulac,http://www.ratebeer.com/brewers/microbrasserie-du-lac-saint-jean/9220/,https://untappd.com/w/microbrasserie-du-lac-saintjean/9799,https://www.aumenu.info/microbrasserie-du-lac-st-jean/,https://twitter.com/Microdulac,?,?,?,?,?,,
À LA FÛT,À LA FÛT COOP DE TRAVAIL BRASSICOLE ,,"670, RUE NOTRE-DAME",SAINT-TITE ,G0X 3H0 ,Québec,Canada,46.725368,-72.563514,4,BR058 ,,Brasseur ,1,2007,http://www.alafut.com/,info@alafut.qc.ca,418-365-4370,https://www.facebook.com/microbrasserie.a.la.fut/,http://www.ratebeer.com/brewers/a-la-fut/8915/,https://untappd.com/w/la-f-t/11977,https://www.aumenu.info/microbrasserie-a-la-fut/,https://twitter.com/alafut,?,?,https://www.instagram.com/a_la_fut/,?,?,,
DIEU DU CIEL,MICROBRASSERIE DIEU DU CIEL INC. ,,"259, RUE DE VILLEMURE, LOCAL 101 ",SAINT-JÉRÔME ,J7Z 5J4 ,Québec,Canada,45.775209,-74.012884,15,BR059 ,,Brasseur ,1,2007,http://www.dieuduciel.com/,info@dieuduciel.com,450-436-3438,https://www.facebook.com/BrasserieDieuduCiel,http://www.ratebeer.com/brewers/dieu-du-ciel/364/,https://untappd.com/w/brasserie-dieu-du-ciel/1674,X,https://twitter.com/Brasseries_DDC,?,?,https://www.instagram.com/brasseriedieuduciel/,?,?,,
BRASSEURS DE MONTRÉAL (PLATEAU MONT-ROYAL),BRASSEURS DE MONTRÉAL INC.,,"4007, RUE SAINT-DENIS",MONTRÉAL ,H2W 2M4,Québec,Canada,45.520679,-73.575504,6,BR060 ,,Brasseur ,0,2008,http://www.brasseurdemontreal.ca/,info@bdmtl.ca,514-903-4500,https://www.facebook.com/BrasseurdeMontreal,http://www.ratebeer.com/brewers/brasseurs-de-montreal/9464/,https://untappd.com/dmerineau,X,https://twitter.com/BrasseurMtl,?,?,?,?,?,,
MICROBRASSERIE LA CHOUAPE,LA CHOUAPE INC.,,"1070, RANG DOUBLE ",SAINT-FÉLICIEN ,G8K 2N8 ,Québec,Canada,48.640911,-72.473671,2,BR061 ,,Brasseur ,1,2008,http://www.lachouape.com/,info@lachouape.com,418-613-0622,https://www.facebook.com/lachouape,http://www.ratebeer.com/brewers/la-chouape/9609/,https://untappd.com/MicrobrasserieLaChouape,X,X,?,?,?,?,?,,
CORSAIRE MICROBRASSERIE,CORSAIRE MICROBRASSERIE INC. ,,"8780, BOULEVARD DE LA RIVE-SUD ",LÉVIS ,G6V 9G9 ,Québec,Canada,46.822118,-71.126293,12,BR062 ,,Brasseur ,1,2008,http://www.corsairemicro.com/,info@corsairemicro.com,418-903-9105,https://www.facebook.com/corsairemicro,http://www.ratebeer.com/brewers/microbrasserie-le-corsaire/9465/,https://untappd.com/w/le-corsaire-microbrasserie/13340,X,https://twitter.com/CorsaireMicro,Q26205066,?,?,?,?,,
MICROBRASSERIE LE NAUFRAGEUR,MICRO-BRASSERIE LE NAUFRAGEUR INC. ,,"586, BOULEVARD PERRON ",CARLETON-SUR-MER ,G0C 1J0 ,Québec,Canada,48.103577,-66.125414,11,BR063 ,,Brasseur ,1,2008,http://www.lenaufrageur.com/,info@lenaufrageur.com,418-364-5440,https://www.facebook.com/Microbrasserie-le-Naufrageur-bar-spectacles-142332679113613/?fref=ts,http://www.ratebeer.com/brewers/microbrasserie-le-naufrageur/9908/,https://untappd.com/w/microbrasserie-le-naufrageur/7174,X,X,?,?,?,?,?,,
LE BROADWAY,CABARET SOCIAL SHAWINIGAN INC.,,"540, AVENUE BROADWAY ",SHAWINIGAN ,G9N 1M3 ,Québec,Canada,46.541192,-72.743916,4,BR064 ,,Brasseur ,1,2006,http://www.broadwaypub.net/,pub.broadway@cgocable.ca,819-537-0044,https://www.facebook.com/BW-Microbrasserie-159419714085720/,http://www.ratebeer.com/brewers/broadway-pub/8180/,https://untappd.com/w/broadway-pub/2007,X,X,?,?,?,?,?,,
BILBOQUET MICROBRASSERIE,BILBOQUET MICROBRASSERIE INC.,,"560, AVENUE SAINT-JOSEPH ",SAINT-HYACINTHE ,J2S 5K2 ,Québec,Canada,45.623494,-72.947939,16,BR065 ,,Brasseur ,1,1992,http://www.lebilboquet.qc.ca/,info@lebilboquet.qc.ca,450-771-6900,https://www.facebook.com/pages/Bar-Le-Bilboquet/116618881737818?fref=ts,http://www.ratebeer.com/brewers/le-bilboquet/3057/,https://untappd.com/LeBilboquetMicrobrasserie,https://www.aumenu.info/le-bil-pub/,X,Q3220444,https://www.youtube.com/user/microbilboquet,?,?,?,,
MICROBRASSERIE CHARLEVOIX ,MICROBRASSERIE CHARLEVOIX  (2007) INC.,,"6, RUE PAUL-RENÉ-TREMBLAY ",BAIE-SAINT-PAUL ,G3Z 3E4 ,Québec,Canada,47.446372,-70.521647,3,BR067 ,,Brasseur ,1,1998,http://www.microbrasserie.com/,fred@microbrasserie.com,418-435-3877,https://www.facebook.com/microbrasseriecharlevoix,http://www.ratebeer.com/brewers/microbrasserie-charlevoix--le-saint-pub/349/,https://untappd.com/microbrasserieCharlevoix,X,https://twitter.com/microbrasserie,?,https://www.youtube.com/user/microbrasserie,?,?,?,,
CIDRERIE SOLAR,CIDRERIE SOLAR INC.,LES 2 FRÈRES,"3082, RUE JOSEPH MONIER",TERREBONNE,J6X 4R1 ,Québec,Canada,45.726089,-73.696469,14,BR068 ,,Brasseur ,0,2006,http://brasserieles2freres.com/,info@brasserieles2freres.com,450-477-1677,https://www.facebook.com/brasserieles2freres,http://www.ratebeer.com/brewers/brasserie-les-2-freres/20728/,https://untappd.com/BrasserieLes2Freres,X,https://twitter.com/brassles2freres,?,?,https://www.instagram.com/brasserieles2freres/,?,?,,
BRASSEURS ILLIMITÉS ,9184-5818 QUÉBEC INC.,,"385, RUE DU PARC, LOCAUX 102 ET 103 ",SAINT-EUSTACHE ,J7R 0A3 ,Québec,Canada,45.575514,-73.882095,15,BR069 ,,Brasseur ,0,2009,http://www.brasseursillimites.com/,rh@brasseursillimites.com,450-598-1363,https://www.facebook.com/brasseursillimites,http://www.ratebeer.com/brewers/brasseurs-illimites/10829/,https://untappd.com/w/brasseurs-illimites/3819,X,X,?,?,?,?,?,,
LES BRASSEURS DU TEMPS,LES BRASSEURS DU TEMPS INC. ,,"170, RUE MONTCALM  ",GATINEAU,J8X 2M2 ,Québec,Canada,45.429615,-75.726764,7,BR070 ,,Brasseur ,1,2009,http://www.brasseursdutemps.com/,info@brasseursdutemps.com,819-205-4999,https://www.facebook.com/LesBrasseursDuTemps,http://www.ratebeer.com/brewers/les-brasseurs-du-temps/10456/,https://untappd.com/w/les-brasseurs-du-temps/4293,X,https://twitter.com/BrasseursDT,?,?,https://www.instagram.com/brasseursdt/,?,?,,
SIBOIRE ,9176-8721 QUÉBEC INC.,,"80, RUE DU DÉPÔT, LOCAL 102 ",SHERBROOKE ,J1H 5G1 ,Québec,Canada,45.402996,-71.887681,5,BR071 ,,Brasseur ,1,2007,http://www.siboire.ca/,info@siboire.ca,819-565-3636,https://www.facebook.com/Siboire,http://www.ratebeer.com/brewers/microbrasserie-siboire/9253/,https://untappd.com/w/siboire/36800,X,https://twitter.com/LeSiboire,?,?,https://www.instagram.com/siboire_microbrasserie/,?,?,,
BRASSEURS DU MONDE,BRASSEURS DU MONDE INC. ,,"6600, BOULEVARD CHOQUETTE ",SAINT-HYACINTHE ,J2S 8L1 ,Québec,Canada,45.627321,-72.940305,16,BR073 ,,Brasseur ,1,2011,http://www.brasseursdumonde.com/,info@brasseursdumonde.ca,450-250-2611,https://www.facebook.com/BrasseurDuMonde,http://www.ratebeer.com/brewers/brasseurs-du-monde--le-picoleur/12944/,https://untappd.com/w/brasseurs-du-monde/17022,X,https://twitter.com/BrasseurDuMonde,?,?,?,?,?,,
